,place_name,bedroom,area,kecamatan,city,final_price,date,final_mortage_monthly
18324,Dijual Cepat Apartemen Bellagio Kuningan Full Furnished,3.0,104.0,Kuningan,Jakarta Selatan,2350000000.0,08/05/2023,16000000.0
18335,Dijual Apartemen Mediterania Garden 2 Full Furnsihed Renovasi Full,3.0,75.0,Tanjung Duren,Jakarta Barat,1700000000.0,08/05/2023,12000000.0
18347,Dijual Apartemen Mediterania Garden 2 Akses Special Direct Ke Mall Central Park,2.0,44.0,Tanjung Duren,Jakarta Barat,1100000000.0,08/05/2023,7000000.0
18360,Condominium Dengan 3 Kamar Tidur Di Kawasan Setiabudi,3.0,86.0,Setiabudi,Jakarta Selatan,3500000000.0,08/05/2023,25000000.0
18389,Good Price 1br 38m2 Taman Anggrek Ta Residence Tares Tamres,1.0,38.0,Taman Anggrek,Jakarta Barat,1100000000.0,08/05/2023,7000000.0
18440,Apartmen Puri Mansion,1.0,37.0,Kembangan,Jakarta Barat,880000000.0,08/05/2023,6000000.0
18479,Dijual Apartement Gold Coast Tower Honolulu di Jakarta Utara,1.0,34.0,Penjaringan,Jakarta Utara,1450000000.0,08/05/2023,10000000.0
18480,Good Deal Studio Taman Anggrek Ta Residence Tares Tamres Homey,1.0,26.0,Taman Anggrek,Jakarta Barat,800000000.0,08/05/2023,5000000.0
18489,Jual Cepat Apartement Neo Soho Residence,1.0,90.0,Tanjung Duren Selatan,Jakarta Barat,2200000000.0,08/05/2023,15000000.0
18494,Dijual Termurah Apartement Greenbay Pluit Full Furnish View Laut ,2.0,36.0,Pluit,Jakarta Utara,375000000.0,09/05/2023,2000000.0
18500,Dijual Apartement Regata Type 3+1 Br Ocean View Furnished Jakut,3.0,243.0,Penjaringan,Jakarta Utara,8500000000.0,08/05/2023,60000000.0
18507,"Apartemen Green Sedayu Cengkareng. Ada 1 Br, Siap Huni, Rapi Dan Terawat",1.0,38.0,Cengkareng,Jakarta Barat,1100000000.0,08/05/2023,7000000.0
18515,Dijual Apartemen St Moritz Puri Indah Tower Favorit Luas 218m2,4.0,218.0,Puri Indah,Jakarta Barat,6750000000.0,09/05/2023,48000000.0
18534,"Apartemen Rajawali Edelweiss, Ada 3 Br, Siap Huni, Terawat Dan Bagus",3.0,98.0,Sawah Besar,Jakarta Pusat,650000000.0,08/05/2023,4000000.0
18545,Dijual Apartement The Capital Residence 3 BR Contact +62 81977403529,3.0,177.0,SCBD,Jakarta Selatan,8199999999.999999,11/05/2023,58000000.0
18557,Dijual Apartement Cbd Pluit Tower Akasia Lt 3. Jakarta Utara,3.0,111.0,Pluit,Jakarta Utara,4500000000.0,08/05/2023,32000000.0
